County_Key,Volume,Count,State_Code,Average
50Franklin,508501,2976,50,170
50Grand Isle,467720,2448,50,191
50Lamoille,183782,2976,50,61
50Orange,899338,4416,50,203
50Orleans,67665,1344,50,50
50Rutland,1732661,7296,50,237
50Washington,4301122,13920,50,308
50Windham,2267003,10176,50,222
50Windsor,1598593,9456,50,169
53Grays Harbor,779590,2976,53,261
53Franklin,604764,2976,53,203
53King,15261995,23064,53,661
53nan,24338182,40848,53,595
53Pierce,2849294,4464,53,638
53Spokane,4838018,18600,53,260
53Chelan,751066,2976,53,252
53Yakima,2916371,8928,53,326
53Whatcom,4686266,9984,53,469
53Columbia,83238,2976,53,27
53Clark,5182147,7440,53,696
53Benton,502168,4464,53,112
53Adams,777197,5952,53,130
53Whitman,265177,2976,53,89
53Mason,114802,1488,53,77
53Snohomish,6382543,8784,53,726
53Okanogan,192189,2976,53,64
53Walla Walla,593,744,53,0
53Thurston,1191838,2976,53,400
53Lewis,2234800,4464,53,500
53Island,305544,1488,53,205
55nan,98551212,305304,55,322
55Bayfield,148337,1488,55,99
55Brown,10500617,29640,55,354
55Buffalo,94579,1488,55,63
55Chippewa,422605,2880,55,146
55Clark,460474,2976,55,154
55Columbia,2127982,4464,55,476
55Dane,19723878,43680,55,451
55Door,707149,5208,55,135
55Dunn,1251640,2976,55,420
55Fond du Lac,1266730,2976,55,425
55Grant,486560,2976,55,163
55Jefferson,1209312,7344,55,164
55Kenosha,1306309,5568,55,234
55Kewaunee,539894,4368,55,123
55La Crosse,1698140,8832,55,192
55Langlade,267874,2880,55,93
55Lincoln,82874,1344,55,61
55Manitowoc,226266,2976,55,76
55Marathon,3387172,10944,55,309
55Marinette,1471561,12240,55,120
55Milwaukee,920524,4896,55,188
55Monroe,1499677,5760,55,260
55Oconto,2027955,17112,55,118
55Oneida,755758,4464,55,169
55Outagamie,7949039,17856,55,445
55Ozaukee,1807161,6696,55,269
55Polk,753552,4368,55,172
55Portage,3982753,14880,55,267
55Price,119553,1488,55,80
55Racine,423939,2976,55,142
55Rock,1815487,2976,55,610
55St. Croix,5027807,11160,55,450
55Sauk,663045,2592,55,255
55Sawyer,153819,1440,55,106
55Shawano,323494,2976,55,108
55Sheboygan,425490,2784,55,152
55Washburn,53780,1488,55,36
55Waukesha,1262200,2976,55,424
55Waushara,545710,4368,55,124
55Winnebago,2627845,10416,55,252
54Summers,387167,2880,54,134
54Kanawha,1434444,7392,54,194
