County_Key,Volume,Count,State_Code,Average
08Rio Blanco,67373,1440,8,46
08Pitkin,602539,1440,8,418
08Alamosa,160485,1296,8,123
08Fremont,113541,1440,8,78
08Pueblo,2963295,5712,8,518
08Costilla,171457,1440,8,119
08Delta,98167,960,8,102
08Crowley,47750,1440,8,33
08Gilpin,564551,2880,8,196
08Routt,143773,1440,8,99
08Adams,13883354,10464,8,1326
08Denver,3153650,1392,8,2265
08Baca,79975,1440,8,55
09New Haven,3509133,5760,9,609
09nan,19726685,19440,9,1014
09New London,4665948,5760,9,810
09Middlesex,8394902,7200,9,1165
09Fairfield,2461578,1440,9,1709
09Windham,1701575,1440,9,1181
11District of Columbia,3795434,4320,11,878
11nan,2781802,1440,11,1931
10New Castle,18146258,64416,10,281
10Kent,10042146,37488,10,267
10nan,442394,8688,10,50
10Sussex,15158657,64896,10,233
12Charlotte,2124093,5664,12,375
12Citrus,1126435,5760,12,195
12Collier,6731091,21576,12,311
12DeSoto,463522,5760,12,80
12Glades,84824,1440,12,58
12Hendry,812502,5760,12,141
12Hernando,1226453,7200,12,170
12Highlands,350613,4224,12,83
12Hillsborough,10785203,31632,12,340
12Lake,2722350,8640,12,315
12nan,10092711,41352,12,244
12Lee,4079028,10080,12,404
12Manatee,2632313,10080,12,261
12Pasco,3768487,11712,12,321
12Pinellas,4214826,15840,12,266
12Polk,7509973,26448,12,283
12Sarasota,3723674,7200,12,517
12Sumter,2095715,5184,12,404
12Alachua,3873154,15120,12,256
12Baker,84990,1440,12,59
12Bradford,820971,4320,12,190
12Columbia,1533491,10080,12,152
12Dixie,62466,1440,12,43
12Hamilton,1122130,6912,12,162
12Lafayette,128573,2880,12,44
12Levy,931607,9984,12,93
12Marion,4018545,9984,12,402
12Suwannee,840502,4320,12,194
12Taylor,55223,1440,12,38
12Bay,1972968,12864,12,153
12Calhoun,502904,5664,12,88
12Escambia,7208710,24144,12,298
12Franklin,91905,1440,12,63
12Gadsden,1294496,10080,12,128
12Gulf,137834,2640,12,52
12Holmes,65047,1440,12,45
12Jackson,906339,7008,12,129
12Jefferson,187170,4224,12,44
12Leon,3887343,16344,12,237
12Liberty,82340,1440,12,57
12Okaloosa,3728510,15840,12,235
12Santa Rosa,1044133,8016,12,130
12Wakulla,503356,2880,12,174
12Walton,2360160,8304,12,284
12Washington,919126,6432,12,142
12Brevard,6211161,21216,12,292
12Clay,1646951,7200,12,228
12Duval,12428416,27360,12,454
12Flagler,2656181,8928,12,297
12Nassau,1906473,7200,12,264
12Orange,8539144,22944,12,372
12Putnam,844639,5760,12,146
12Seminole,6497647,12552,12,517
12St. Johns,2546883,9600,12,265
12Volusia,4828233,13584,12,355
12Broward,21333520,45072,12,473
12Miami-Dade,27694715,51984,12,532
12Indian River,863820,7200,12,119
12Martin,3445150,10032,12,343
12Monroe,2150319,6624,12,324
12Osceola,3201840,11520,12,277
12Palm Beach,26353393,57504,12,458
12St. Lucie,3766387,19320,12,194
13DeKalb,31731320,49584,13,639
13Fulton,72285765,116688,13,619
13Meriwether,1446379,2784,13,519
13nan,13264682,23040,13,575
13Houston,2503756,10560,13,237
13Troup,3206731,12240,13,261
13Chatham,11241498,34176,13,328
13Camden,3538810,10992,13,321
13Atkinson,264450,5760,13,45
13Lowndes,2337957,8640,13,270
13Clayton,13918664,26736,13,520
13Glynn,2427510,15072,13,161
13Bacon,148139,2880,13,51
13Hart,2009498,7056,13,284
