County_Key,Volume,Count,State_Code,Average
08La Plata,1442029,4320,8,333
08Rio Grande,221603,1440,8,153
08Chaffee,211788,1440,8,147
08Montezuma,253447,2016,8,125
08Teller,603570,2880,8,209
08Routt,359295,2832,8,126
08Rio Blanco,55082,1440,8,38
08Pitkin,549537,1440,8,381
08Alamosa,152704,1440,8,106
08Fremont,66189,1104,8,59
08Pueblo,2880674,5808,8,495
08Costilla,131541,1440,8,91
08Delta,124407,1440,8,86
08Crowley,45101,1440,8,31
08Gilpin,471520,2736,8,172
08Denver,7731420,2976,8,2597
08Adams,14943345,11280,8,1324
08Baca,76541,1440,8,53
09New Haven,3171404,5952,9,532
09nan,23658044,22320,9,1059
09New London,4556562,6696,9,680
09Middlesex,7691372,8928,9,861
09Fairfield,2237127,1488,9,1503
09Windham,1388158,1488,9,932
10New Castle,19049810,73152,10,260
10Kent,8725339,39168,10,222
10nan,350711,8592,10,40
10Sussex,10468018,62448,10,167
12Charlotte,3458800,8496,12,407
12Citrus,1297805,5760,12,225
12Collier,8738861,21288,12,410
12DeSoto,626406,5760,12,108
12Glades,111539,1440,12,77
12Hendry,973368,5760,12,168
12Hernando,653954,4320,12,151
12Highlands,453368,4272,12,106
12Hillsborough,10664601,27816,12,383
12Lake,3081107,8496,12,362
12nan,6758418,28704,12,235
12Lee,1714029,4320,12,396
12Manatee,3083499,9936,12,310
12Pasco,3144492,8544,12,368
12Pinellas,4329924,13848,12,312
12Polk,8472729,26496,12,319
12Sarasota,3553674,4320,12,822
12Sumter,2912047,5760,12,505
12Alachua,4234358,14976,12,282
12Baker,83319,1416,12,58
12Bradford,906115,4320,12,209
12Columbia,1002908,7200,12,139
12Dixie,65729,1440,12,45
12Hamilton,1374628,5904,12,232
12Lafayette,133743,2880,12,46
12Levy,1058486,9984,12,106
12Madison,277601,2880,12,96
12Marion,5211945,12624,12,412
12Suwannee,988914,4272,12,231
12Taylor,63856,1440,12,44
12Bay,1756242,11568,12,151
12Calhoun,531881,5664,12,93
12Escambia,6395269,21264,12,300
12Franklin,104241,1440,12,72
12Gadsden,1311481,9696,12,135
12Gulf,71628,1440,12,49
12Holmes,64596,1440,12,44
12Jackson,1650843,11136,12,148
12Jefferson,212164,4320,12,49
12Leon,4120375,16368,12,251
12Liberty,97410,1440,12,67
12Okaloosa,5493064,19392,12,283
12Santa Rosa,563094,7200,12,78
12Wakulla,515907,2880,12,179
12Walton,3085569,11400,12,270
12Washington,1045231,7200,12,145
12Brevard,6889163,19776,12,348
12Clay,1669317,7152,12,233
12Duval,13302542,24336,12,546
12Flagler,3388868,9600,12,353
12Nassau,1994473,6552,12,304
12Orange,13643233,28704,12,475
12Putnam,834843,5136,12,162
12Seminole,5905247,8448,12,699
12St. Johns,2614254,9120,12,286
12Volusia,5505466,13440,12,409
12Broward,24949135,49032,12,508
12Miami-Dade,27745423,53160,12,521
12Indian River,1057228,7200,12,146
12Martin,3650125,9504,12,384
12Monroe,2872354,7200,12,398
12Osceola,3592108,11376,12,315
12Palm Beach,29707943,57288,12,518
12St. Lucie,4594287,19368,12,237
13DeKalb,36152744,55008,13,657
13Fulton,73216534,114504,13,639
13Meriwether,1418944,2880,13,492
13nan,11702234,20832,13,561
13Houston,2682874,10800,13,248
13Troup,3009175,12144,13,247
13Chatham,16851737,43008,13,391
13Atkinson,262357,5664,13,46
13Lowndes,2449125,7200,13,340
13Clayton,8293302,19632,13,422
13Glynn,2646990,15456,13,171
13Bacon,148747,2880,13,51
13Hart,1648755,6960,13,236
13Barrow,250470,1440,13,173
13Pickens,908762,6288,13,144
13Bartow,3911208,9984,13,391
13Bulloch,467433,2880,13,162
13Camden,1280225,4032,13,317
13Clarke,2759676,12600,13,219
13Decatur,344654,2880,13,119
13Fannin,599520,4320,13,138
13Floyd,1626645,7152,13,227
13Hall,607989,2640,13,230
13Jenkins,96502,1488,13,64
13Lumpkin,851109,4080,13,208
13Mitchell,176788,2880,13,61
13Thomas,441009,5568,13,79
13Towns,26249,1296,13,20
13Ware,684212,2880,13,237
13Gwinnett,21123772,29760,13,709
13Cobb,7783263,15600,13,498
13Richmond,5966526,16200,13,368
13Butts,2181380,3744,13,582
13Dougherty,494224,2784,13,177
13Bibb,13030857,43464,13,299
13Peach,142715,288,13,495
13Harris,1092495,2880,13,379
13Taylor,1856,1248,13,1
13Catoosa,3055689,4320,13,707
13Haralson,588275,1728,13,340
13Henry,1458856,3600,13,405
13McIntosh,1752875,7200,13,243
13Cherokee,117732,1440,13,81
13Habersham,36572,1440,13,25
13Oconee,138095,1440,13,95
13Crisp,238846,2880,13,82
13Jeff Davis,229805,2880,13,79
13Brantley,219731,2592,13,84
13Fayette,190218,1440,13,132
13Bryan,1979015,8448,13,234
13Pierce,50123,2880,13,17
13Clinch,180022,2880,13,62
13Laurens,821129,7200,13,114
13Treutlen,558546,2880,13,193
13Montgomery,132477,1440,13,91
13Taliaferro,749628,2880,13,260
13Muscogee,3552168,9984,13,355
13Douglas,2235341,4320,13,517
13Dade,2577652,7200,13,358
13Jackson,1790424,2880,13,621
13Murray,207944,2016,13,103
13Walton,400974,1824,13,219
13Coweta,356337,2784,13,127
13Monroe,944172,2400,13,393
13Liberty,372545,4176,13,89
13Appling,41444,2880,13,14
13Lee,420851,2880,13,146
13Baldwin,274871,1440,13,190
13Ben Hill,107079,1440,13,74
13Gilmer,315187,1440,13,218
13Walker,844776,4608,13,183
13Emanuel,115689,1440,13,80
13Warren,727523,2880,13,252
13Morgan,657238,2304,13,285
13Tift,1338783,4320,13,309
15Hawaii,3085736,12648,15,243
15Honolulu,70920521,141768,15,500
15Kauai,2885798,12648,15,228
15Maui,9726478,32448,15,299
15nan,11372109,14880,15,764
19Pottawattamie,1741251,11520,19,151
19Mills,395365,2880,19,137
19Poweshiek,730580,2784,19,262
19Hamilton,787634,4608,19,170
19Monona,367060,2784,19,131
19Decatur,427079,4128,19,103
19Cerro Gordo,1489896,11520,19,129
19Iowa,897818,2880,19,311
19Benton,683832,4320,19,158
19Cass,656406,4272,19,153
19Dallas,1369113,5760,19,237
19Polk,6354381,20544,19,309
19Scott,3606563,13152,19,274
19Cedar,1105529,4224,19,261
19Wright,489235,5568,19,87
19Johnson,3049911,11232,19,271
19Plymouth,389655,2784,19,139
19Henry,363460,2784,19,130
